job_id,arrival_time,arrival_sec,job_runtime,gpu_demand,user,gpu_type,num_inst,num_cpu,cluster_load_cpu,cluster_load_gpu,active_job_count,hour_of_day,day_of_week
1,1970-01-01 00:00:03,0.0,15748.0,0.25,d4d51aca8806,T4,12.0,6.0,0.0,0.0,0,0,3
2,1970-01-01 00:00:05,2.0,84.0,1.0,a8192d6b0ae9,MISC,1.0,6.0,6.0,0.25,1,0,3
3,1970-01-01 00:00:21,18.0,46.0,1.0,c7152ce0fec1,T4,1.0,18.0,18.0,2.25,3,0,3
4,1970-01-01 00:00:21,18.0,80.0,1.0,7b76597f4283,MISC,1.0,6.0,30.0,2.25,3,0,3
5,1970-01-01 00:00:36,33.0,100.0,1.0,7b76597f4283,MISC,1.0,6.0,36.0,3.25,4,0,3
6,1970-01-01 00:00:41,38.0,41382.0,0.25,9cc55781f4a6,T4,1.0,6.0,42.0,4.25,5,0,3
7,1970-01-01 00:00:51,48.0,1825.0,1.0,ecaa161a8367,MISC,1.0,18.0,48.0,4.5,6,0,3
10,1970-01-01 00:01:07,64.0,15740.0,0.25,d4d51aca8806,T4,12.0,6.0,48.0,4.5,6,0,3
11,1970-01-01 00:01:15,72.0,63.0,1.0,a8192d6b0ae9,MISC,1.0,6.0,54.0,4.75,7,0,3
12,1970-01-01 00:01:38,95.0,24.0,1.0,552e00661526,T4,1.0,6.0,54.0,4.75,7,0,3
13,1970-01-01 00:01:39,96.0,54.0,1.0,b13fd7656207,T4,1.0,8.0,60.0,5.75,8,0,3
16,1970-01-01 00:02:23,140.0,105.0,0.05,8136a0371edc,T4,1.0,8.0,44.0,2.75,5,0,3
17,1970-01-01 00:02:32,149.0,508.0,0.05,8136a0371edc,T4,1.0,8.0,52.0,2.8,6,0,3
18,1970-01-01 00:03:30,207.0,527.0,0.05,8136a0371edc,T4,1.0,8.0,52.0,1.8499999999999996,6,0,3
19,1970-01-01 00:03:35,212.0,276.0,0.05,8136a0371edc,T4,1.0,8.0,60.0,1.8999999999999997,7,0,3
21,1970-01-01 00:04:15,252.0,34.0,0.05,8136a0371edc,T4,1.0,8.0,60.0,1.8999999999999997,7,0,3
22,1970-01-01 00:04:17,254.0,37.0,1.0,5b1345f03aa1,MISC,1.0,6.0,68.0,1.9499999999999997,8,0,3
23,1970-01-01 00:04:19,256.0,86.0,0.25,5b1345f03aa1,MISC,1.0,6.0,74.0,2.9499999999999997,9,0,3
25,1970-01-01 00:04:58,295.0,180.0,0.5,f134c9ec05e3,MISC,1.0,6.0,66.0,2.15,8,0,3
26,1970-01-01 00:05:05,302.0,387.0,0.05,8136a0371edc,T4,1.0,8.0,72.0,2.65,9,0,3
27,1970-01-01 00:05:08,305.0,293.0,1.0,0fe7087caa8a,MISC,1.0,6.0,80.0,2.6999999999999997,10,0,3
28,1970-01-01 00:05:12,309.0,16.0,2.0,45bd92802aa9,T4,1.0,6.0,86.0,3.6999999999999993,11,0,3
29,1970-01-01 00:05:14,311.0,58444.0,0.25,de69ddc1064e,MISC,1.0,6.0,92.0,5.699999999999999,12,0,3
30,1970-01-01 00:05:20,317.0,44062.0,0.5,de69ddc1064e,MISC,1.0,6.0,98.0,5.949999999999999,13,0,3
31,1970-01-01 00:05:43,340.0,16.0,1.0,33018f1f6e95,T4,1.0,6.0,98.0,4.449999999999999,13,0,3
32,1970-01-01 00:05:49,346.0,16.0,1.0,4d95fa282778,T4,1.0,6.0,98.0,5.199999999999999,13,0,3
36,1970-01-01 00:05:55,352.0,2101.0,1.0,5b1345f03aa1,MISC,1.0,18.0,104.0,6.199999999999999,14,0,3
38,1970-01-01 00:05:56,353.0,184.0,1.0,7203aa95a9af,MISC,1.0,6.0,122.0,7.199999999999999,15,0,3
39,1970-01-01 00:06:00,357.0,46.0,1.0,5b1345f03aa1,MISC,1.0,6.0,122.0,7.199999999999999,15,0,3
40,1970-01-01 00:06:17,374.0,114.0,1.0,7dd1a2bf0795,T4,1.0,6.0,122.0,7.199999999999999,15,0,3
41,1970-01-01 00:06:37,394.0,1072.0,1.0,df2899e220e8,MISC,1.0,6.0,128.0,8.2,16,0,3
43,1970-01-01 00:06:44,401.0,649.0,1.0,33018f1f6e95,T4,1.0,6.0,134.0,9.2,17,0,3
47,1970-01-01 00:06:57,414.0,555.0,1.0,dca3db6263d5,MISC,1.0,6.0,134.0,9.2,17,0,3
49,1970-01-01 00:07:02,419.0,1634.0,0.05,8136a0371edc,T4,1.0,8.0,140.0,10.2,18,0,3
50,1970-01-01 00:07:03,420.0,903.0,0.25,6c545bed7d03,MISC,30.0,4.0,148.0,10.25,19,0,3
51,1970-01-01 00:07:23,440.0,53.0,1.0,5b1345f03aa1,MISC,1.0,6.0,152.0,10.5,20,0,3
52,1970-01-01 00:07:29,446.0,407.0,0.05,8136a0371edc,T4,1.0,8.0,158.0,11.5,21,0,3
53,1970-01-01 00:07:31,448.0,266.0,1.0,45bd92802aa9,T4,1.0,6.0,166.0,11.55,22,0,3
54,1970-01-01 00:07:42,459.0,46.0,0.25,58540f191766,MISC,1.0,6.0,172.0,12.55,23,0,3
56,1970-01-01 00:07:45,462.0,28609.0,1.0,5b1345f03aa1,MISC,1.0,18.0,196.0,13.8,25,0,3
55,1970-01-01 00:07:45,462.0,159596.0,1.0,5b1345f03aa1,MISC,1.0,18.0,196.0,13.8,25,0,3
58,1970-01-01 00:07:49,466.0,17.0,1.0,5b1345f03aa1,MISC,1.0,18.0,214.0,14.8,26,0,3
59,1970-01-01 00:07:50,467.0,2306.0,1.0,5b1345f03aa1,MISC,1.0,18.0,232.0,15.8,27,0,3
61,1970-01-01 00:08:00,477.0,55.0,1.0,5b1345f03aa1,MISC,1.0,6.0,244.0,16.3,27,0,3
62,1970-01-01 00:08:29,506.0,66.0,1.0,42aa9724a88c,MISC,1.0,6.0,212.0,15.0,24,0,3
63,1970-01-01 00:08:29,506.0,1906.0,1.0,a8192d6b0ae9,MISC,1.0,6.0,212.0,15.0,24,0,3
64,1970-01-01 00:08:39,516.0,54.0,1.0,7dd1a2bf0795,T4,1.0,6.0,218.0,16.0,25,0,3
67,1970-01-01 00:08:53,530.0,3163.0,0.1,58540f191766,MISC,1.0,0.1,224.0,17.0,26,0,3
68,1970-01-01 00:08:56,533.0,33.0,1.0,5b1345f03aa1,MISC,1.0,6.0,218.1,16.1,26,0,3
69,1970-01-01 00:09:00,537.0,37.0,1.0,354e3b81c515,MISC,1.0,6.0,218.1,16.1,26,0,3
