job_id,arrival_time,arrival_sec,job_runtime,gpu_demand,user,gpu_type,num_inst,num_cpu,hour_of_day,day_of_week,cluster_load_cpu,cluster_load_gpu,active_job_count
1,1970-01-01 00:00:03,3.0,15748.0,0.25,d4d51aca8806,T4,12.0,6.0,0,0,2.0,0.0,1
2,1970-01-01 00:00:05,5.0,84.0,1.0,a8192d6b0ae9,MISC,1.0,6.0,0,0,8.0,0.25,2
3,1970-01-01 00:00:21,21.0,46.0,1.0,c7152ce0fec1,T4,1.0,18.0,0,0,20.0,2.25,4
4,1970-01-01 00:00:21,21.0,80.0,1.0,7b76597f4283,MISC,1.0,6.0,0,0,32.0,2.25,4
5,1970-01-01 00:00:36,36.0,100.0,1.0,7b76597f4283,MISC,1.0,6.0,0,0,36.0,3.25,4
6,1970-01-01 00:00:41,41.0,41382.0,0.25,9cc55781f4a6,T4,1.0,6.0,0,0,42.0,4.25,5
7,1970-01-01 00:00:51,51.0,1825.0,1.0,ecaa161a8367,MISC,1.0,18.0,0,0,56.0,4.5,7
10,1970-01-01 00:01:07,67.0,15740.0,0.25,d4d51aca8806,T4,12.0,6.0,0,0,58.0,4.5,8
11,1970-01-01 00:01:15,75.0,63.0,1.0,a8192d6b0ae9,MISC,1.0,6.0,0,0,64.0,4.75,9
12,1970-01-01 00:01:38,98.0,24.0,1.0,552e00661526,T4,1.0,6.0,0,0,64.0,4.75,9
13,1970-01-01 00:01:39,99.0,54.0,1.0,b13fd7656207,T4,1.0,8.0,0,0,68.0,5.75,9
16,1970-01-01 00:02:23,143.0,105.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,68.0,2.75,8
17,1970-01-01 00:02:32,152.0,508.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,76.0,2.8,9
18,1970-01-01 00:03:30,210.0,527.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,76.0,1.8499999999999996,9
19,1970-01-01 00:03:35,215.0,276.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,84.0,1.8999999999999997,10
21,1970-01-01 00:04:15,255.0,34.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,92.0,1.8999999999999997,11
22,1970-01-01 00:04:17,257.0,37.0,1.0,5b1345f03aa1,MISC,1.0,6.0,0,0,100.0,1.9499999999999997,12
23,1970-01-01 00:04:19,259.0,86.0,0.25,5b1345f03aa1,MISC,1.0,6.0,0,0,106.0,2.9499999999999997,13
25,1970-01-01 00:04:58,298.0,180.0,0.5,f134c9ec05e3,MISC,1.0,6.0,0,0,106.0,2.15,13
26,1970-01-01 00:05:05,305.0,387.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,112.0,2.65,14
27,1970-01-01 00:05:08,308.0,293.0,1.0,0fe7087caa8a,MISC,1.0,6.0,0,0,120.0,2.6999999999999997,15
28,1970-01-01 00:05:12,312.0,16.0,2.0,45bd92802aa9,T4,1.0,6.0,0,0,126.0,3.6999999999999993,16
29,1970-01-01 00:05:14,314.0,58444.0,0.25,de69ddc1064e,MISC,1.0,6.0,0,0,132.0,5.699999999999999,17
30,1970-01-01 00:05:20,320.0,44062.0,0.5,de69ddc1064e,MISC,1.0,6.0,0,0,138.0,5.949999999999999,18
31,1970-01-01 00:05:43,343.0,16.0,1.0,33018f1f6e95,T4,1.0,6.0,0,0,138.0,4.449999999999999,18
32,1970-01-01 00:05:49,349.0,16.0,1.0,4d95fa282778,T4,1.0,6.0,0,0,138.0,5.199999999999999,18
36,1970-01-01 00:05:55,355.0,2101.0,1.0,5b1345f03aa1,MISC,1.0,18.0,0,0,168.0,6.199999999999999,22
38,1970-01-01 00:05:56,356.0,184.0,1.0,7203aa95a9af,MISC,1.0,6.0,0,0,194.0,7.199999999999999,24
39,1970-01-01 00:06:00,360.0,46.0,1.0,5b1345f03aa1,MISC,1.0,6.0,0,0,194.0,7.199999999999999,24
40,1970-01-01 00:06:17,377.0,114.0,1.0,7dd1a2bf0795,T4,1.0,6.0,0,0,194.0,7.199999999999999,24
41,1970-01-01 00:06:37,397.0,1072.0,1.0,df2899e220e8,MISC,1.0,6.0,0,0,200.0,8.2,25
43,1970-01-01 00:06:44,404.0,649.0,1.0,33018f1f6e95,T4,1.0,6.0,0,0,214.0,9.2,27
47,1970-01-01 00:06:57,417.0,555.0,1.0,dca3db6263d5,MISC,1.0,6.0,0,0,238.0,9.2,30
49,1970-01-01 00:07:02,422.0,1634.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,250.0,10.2,32
50,1970-01-01 00:07:03,423.0,903.0,0.25,6c545bed7d03,MISC,30.0,4.0,0,0,258.0,10.25,33
51,1970-01-01 00:07:23,443.0,53.0,1.0,5b1345f03aa1,MISC,1.0,6.0,0,0,262.0,10.5,34
52,1970-01-01 00:07:29,449.0,407.0,0.05,8136a0371edc,T4,1.0,8.0,0,0,268.0,11.5,35
