Policy / Architecture,Spearman rho,Spearman p-value,Kendall tau,Kendall p-value,Model MAE (s),JCT Improvement %
SJF-LSTM (One-Hot),0.40773358424136674,0.0,0.28020290494253386,0.0,6348.40335141988,63.88
SJF-XGBoost (One-Hot),0.5602508501464227,0.0,0.39600818039642016,0.0,5651.597268735521,63.34
SJF-LSTM (One-Hot Sequence),0.39111451070179426,0.0,0.26891094579360564,0.0,6706.174954008347,61.61
SJF-XGBoost (Native Categorical),0.5125923808557195,0.0,0.3592542019432679,0.0,5920.478618315597,61.49
SJF-CNN-LSTM (One-Hot Sequence),0.33172283089056337,0.0,0.2310444173326651,0.0,6333.253633279482,57.87
SJF-LSTM (Numeric Sequence),-0.06024051113789924,1.0781748437472507e-14,-0.04321171611640139,9.923638288651536e-17,6906.937549185853,56.32
SJF-Random Forest (One-Hot),0.43200543956053283,0.0,0.307219061654889,0.0,6268.121419132145,55.96
SJF-CNN (One-Hot),0.4143398170124952,0.0,0.28886668404188015,0.0,6858.558534592138,54.95
SJF-CNN-LSTM (One-Hot),0.3354342448551468,0.0,0.23338491235344572,0.0,7039.868483367146,53.96
SJF-LSTM (Numeric),0.12610169854568049,3.0595211459801994e-59,0.08423918863328557,5.836431392012512e-59,6584.039614619932,53.27
SJF-XGBoost (Numeric),0.3773395573953776,0.0,0.2531677576662029,0.0,6461.490514196516,52.55
SJF-Random Forest (Numeric),0.3582060570981389,0.0,0.2409203199949381,0.0,6787.828971716485,49.82
SJF-LightGBM (Native Categorical),0.6809796490951263,0.0,0.49402538767975096,0.0,4857.243210787051,49.54
SJF-ProfileMedian (baseline),0.7203602326417373,0.0,0.55632596651283,0.0,4389.668491817241,42.69
SJF-CNN (Numeric),0.04260258534601335,4.654997125773984e-08,0.027758182368778854,9.544853344566845e-08,6599.108306259078,41.89
SJF-UserMedian (baseline),0.5965892321034374,0.0,0.44649973660565817,0.0,5191.497018920728,40.33
SJF-CNN-LSTM (Numeric),0.1646541352759942,3.066912158148925e-100,0.11026660549488537,1.3544544548989982e-99,6873.173138866273,37.93
SJF-LightGBM (Numeric),0.24310678342570785,9.95038708395298e-220,0.18840617918526006,9.456210454812511e-220,5811.101828952971,24.19
SJF-CNN (Numeric Sequence),0.09423634919267587,9.606027443435337e-34,0.06169817719055363,2.6323845338055833e-32,6163.7783796272915,8.43
SJF-CNN-LSTM (Numeric Sequence),,,,,6702.112332730178,0.0
SJF-CNN (One-Hot Sequence),0.28944300095602293,0.0,0.1985501987557961,0.0,6331.683600091351,-2.97
